O,D,V,Dis,Time
Z1,Z9,-0.146,4166,755
Z2,Z9,-0.144,4299,732
Z2,Z146,-0.143,6806,1113
Z2,Z363,0.242,7028,1072
Z3,Z9,0.036,3433,589
Z3,Z44,1.558,9034,1521
Z3,Z45,0.424,3251,576
Z3,Z84,1.59,11974,1614
Z3,Z102,1.092,9899,1521
Z3,Z120,1.917,5881,1053
Z3,Z155,-0.07,2356,475
Z3,Z192,0.795,8982,1282
Z3,Z201,-0.171,1262,273
Z3,Z247,1.178,9600,1475
Z3,Z353,0.235,1204,281
Z3,Z367,0.574,7608,1140
Z4,Z4,0,0,0
Z4,Z9,1.312,7444,1223
Z4,Z129,1.18,1549,272
Z4,Z192,0.558,6879,1175
Z4,Z282,0.059,4770,824
Z4,Z365,0.236,2819,514
Z4,Z386,0.199,4748,809
Z4,Z397,0.74,7927,1288
Z5,Z34,-0.065,1492,314
Z5,Z73,-0.113,2506,554
Z5,Z98,-0.018,4541,937
Z5,Z132,0.858,1730,360
Z5,Z138,2.355,10312,1752
Z5,Z192,0.299,5164,1064
Z5,Z193,-0.095,2719,602
Z5,Z229,0.943,7678,1259
Z5,Z276,0.066,598,137
Z6,Z21,0.056,2058,468
Z6,Z23,4.957,14152,1629
Z6,Z35,0.277,4494,730
Z6,Z121,0.63,5351,804
Z6,Z122,0.697,5172,733
Z6,Z133,0.242,1846,442
Z6,Z154,1.967,10770,1199
Z6,Z237,0.978,2495,457
Z6,Z238,1.676,2953,621
Z6,Z270,0.267,3211,552
Z6,Z296,0.219,4207,705
Z7,Z118,0.15,4634,624
Z7,Z336,1.655,3129,460
Z7,Z337,0.429,4980,794
Z8,Z9,0.485,1320,259
Z8,Z156,0.869,5396,873
Z8,Z297,2.571,2339,567
Z8,Z343,1.46,8327,1121
Z8,Z371,0.378,3025,449
Z8,Z372,3.853,16570,1757
Z9,Z1,2.497,4001,747
Z9,Z2,2.286,4058,714
Z9,Z3,1.797,3191,554
Z9,Z4,1.809,8077,1280
Z9,Z55,1.982,9945,1264
Z9,Z61,1.563,10621,1130
Z9,Z82,1.252,6612,1069
Z9,Z87,1.149,4095,767
Z9,Z90,0.021,2341,356
Z9,Z117,1.586,9360,1150
Z9,Z143,1.749,5699,851
Z9,Z146,0.643,4727,779
Z9,Z153,1.014,7233,1009
Z9,Z154,0.92,4409,747
Z9,Z155,1.535,5436,883
Z9,Z157,0.46,2677,502
Z9,Z192,0.597,4279,739
Z9,Z193,0.797,5254,873
Z9,Z194,0.732,4841,735
Z9,Z202,0.844,5227,909
Z9,Z224,1.351,5947,1015
Z9,Z229,1.277,6902,1065
Z9,Z247,0.951,6213,969
Z9,Z252,0.524,1696,315
Z9,Z263,0.66,4094,675
Z9,Z266,3.272,6841,1132
Z9,Z267,3.611,11983,1591
Z9,Z276,2.076,7320,1224
Z9,Z282,0.417,4624,766
Z9,Z309,0.553,4068,700
Z9,Z334,0.501,4869,763
Z9,Z367,0.366,4237,734
Z9,Z398,0.543,4159,554
Z10,Z4,1.281,6000,942
Z10,Z10,0,0,0
Z10,Z181,0.209,4097,756
Z10,Z209,0.018,1001,228
Z10,Z308,3.507,13628,1875
Z11,Z186,0.134,7267,974
Z11,Z270,-0.365,4489,687
Z11,Z296,-0.299,5968,687
Z11,Z386,0.284,8365,952.1
Z12,Z12,0,0,0
Z12,Z141,2,,
Z12,Z148,2,,
Z12,Z181,2,,
Z12,Z194,0.025,7518,988
Z12,Z325,-0.061,6480,691
Z12,Z368,2,,
Z13,Z14,0.383,234,64
Z14,Z13,-0.059,234,64
Z15,Z159,2.546,9921,1444
Z15,Z206,0.939,925,293
Z16,Z16,0,0,0
Z16,Z192,0.606,6780,1262
Z16,Z253,0.138,2953,646
Z16,Z334,0.127,4514,867
Z16,Z398,0.827,8161,1356
Z17,Z17,0,0,0
Z17,Z192,1.218,6561,898
Z17,Z291,0.073,1991,380
Z17,Z393,1.313,1849,355
Z18,Z21,0.514,5015,791
Z18,Z139,-0.111,1110,175
Z18,Z181,0.485,6194,973
Z18,Z191,0.229,4200,705
Z18,Z363,1.068,8530,884
Z18,Z386,0.513,5585,711.1
Z19,Z19,0,0,0
Z19,Z21,0.48,6127,736
Z19,Z102,0.597,7493,676
Z19,Z191,0.816,8580,961
Z19,Z192,0.985,9129,944
Z19,Z201,3.188,14796,1356
Z19,Z238,2.008,5298,662
Z19,Z247,1.141,9813,938
Z19,Z266,2.84,7876,1293
Z19,Z293,0.534,6652,833
Z19,Z398,1.191,10510,1035
Z20,Z276,0.779,5138,662
Z20,Z395,2.243,8132,1327
Z21,Z6,0.876,2089,405
Z21,Z18,1.763,3725,556
Z21,Z19,2.525,3477,486
Z21,Z21,0,0,0
Z21,Z72,12.136,16394,1840
Z21,Z86,0.265,2273,393
Z21,Z93,2.431,10806,941
Z21,Z94,0.782,2003,349
Z21,Z98,0.468,4464,510
Z21,Z140,2.738,4842,746
Z21,Z146,1.345,7916,861
Z21,Z181,0.29,2876,478
Z21,Z197,1.154,3975,617
Z21,Z203,0.719,1280,317
Z21,Z238,1.922,2309,519
Z21,Z259,2.289,3481,669
Z21,Z260,1.032,2363,506
Z21,Z270,0.095,792,230
Z21,Z292,0.294,2221,274
Z21,Z349,0.747,2865,535
Z21,Z383,4.858,14015,1782
Z22,Z148,-0.382,3026,667
Z22,Z171,3.181,8391,1566
Z22,Z189,0.084,5604,1007
Z22,Z237,2.182,12546,1899
Z23,Z115,3.383,9597,1360
Z23,Z157,-0.367,3184,753
Z23,Z177,0.031,6244,1084
Z23,Z191,0.455,7834,1294
Z23,Z192,0.297,6922,1200
Z23,Z309,0.253,6711,1161
Z23,Z312,-0.484,3977,752
Z23,Z325,0.831,9539,1471
Z23,Z402,3.017,16937,2221
Z24,Z24,0,0,0
Z24,Z55,4.223,24717,2477
Z24,Z97,0.967,9315,1466
Z24,Z144,0.696,4607,922
Z24,Z181,1.267,11981,1649
Z24,Z187,1.613,13082,1457
Z24,Z203,1.545,9888,1556
Z24,Z258,3.93,10210,1630
Z24,Z259,3.168,10543,1615
Z24,Z275,0.848,5239,1035
Z24,Z293,0.981,9305,1369
Z24,Z331,1.613,6168,1165
Z24,Z361,0.489,3663,808
Z24,Z364,0.295,1302,343
Z24,Z372,0.238,1677,412
Z24,Z383,2.12,3017,704
Z24,Z402,1.189,6264,1140
Z25,Z28,0.831,1667,377
Z25,Z29,0.501,1697,337
Z25,Z30,0.321,1418,263
Z25,Z33,0.171,331,28.9
Z25,Z87,10.605,37948,2959
Z25,Z122,11.88,47071,3881
Z25,Z138,12.386,45285,3969
Z25,Z343,10.938,43383,3525
Z25,Z366,11.31,41889,3323
Z26,Z25,0.101,873,180
Z27,Z97,12.571,50321,4151
Z27,Z164,5.389,21207,1649
Z27,Z292,12.17,48728,3863
Z28,Z25,0.112,1834,450
Z28,Z30,-0.08,946,249
Z28,Z31,-0.086,857,230
Z28,Z32,-0.089,1121,322
Z29,Z30,0.335,1462,335
Z30,Z25,0.667,946,241
Z30,Z28,8.663,31277,2076
Z30,Z60,11.52,44121,3457
Z30,Z248,12.008,43692,3333
Z30,Z366,0.669,858,229
Z31,Z28,6.612,21414,1690
Z31,Z163,0.762,1064,269
Z32,Z28,0.891,1490,370
Z33,Z25,1.254,7824,972
Z34,Z5,1.427,1906,384
Z34,Z67,1.808,9613,1321
Z34,Z95,1.168,1441,308
Z34,Z122,0.259,2896,864
Z34,Z132,0.338,3091,663
Z34,Z192,1.908,2766,540
Z34,Z325,1.756,4696,774
Z34,Z394,0,0,0
Z35,Z6,1.639,8162,809
Z35,Z35,2.506,5256,868
Z35,Z67,1.331,3431,622
Z35,Z95,3.197,9677,1068
Z35,Z203,1.734,5249,912
Z35,Z234,0.578,1898,257
Z35,Z239,0.762,3243,509
Z35,Z270,1.744,8333,1129
Z35,Z293,-0.044,2644,516
Z35,Z346,0.568,5601,1006
Z36,Z156,0.059,1248,280
Z36,Z193,0.044,1486,312
Z36,Z196,0.968,2182,460
Z36,Z229,0.223,4511,788
Z36,Z236,2.083,10949,1626
Z36,Z265,0.13,6952,1324
Z37,Z45,0.543,9171,1430
Z37,Z192,0.202,1856,376
Z37,Z343,0.946,6347,898
Z38,Z248,0.322,4497,711
Z38,Z398,2.623,10006,1152
Z39,Z111,1.198,8612,940
Z39,Z201,0.335,3373,554
Z39,Z371,2.191,12144,1307
Z40,Z122,0.067,1514,295
Z40,Z123,-0.015,1544,352
Z40,Z229,0.29,913,219
Z40,Z283,0.605,1490,283
Z41,Z38,2.515,11101,1004
Z41,Z40,1.438,7756,792
Z41,Z75,0.56,3581,564
Z41,Z118,0.149,1594,234
Z41,Z121,0.745,4473,651
Z41,Z153,0.776,4050,608
Z41,Z193,0.513,2837,431
Z41,Z202,0.982,3052,524
Z41,Z242,0.191,2163,243
Z41,Z250,2.108,10330,1114
Z41,Z334,0.263,2097,322
Z41,Z348,-0.133,3821,749
Z41,Z386,1.305,3892,906
Z42,Z156,0.138,3375,621
Z42,Z183,-0.056,2374,401
Z42,Z220,0.591,7989,1287
Z42,Z330,1.298,11068,1402
Z42,Z398,0.88,5372,903
Z43,Z53,0.371,6313,1063
Z43,Z75,0.991,8206,1251
Z43,Z192,0.063,5483,988
Z43,Z325,1.4,10372,1866
Z43,Z367,0.277,4702,1004
Z44,Z44,-0.462,4616,946
Z44,Z47,-0.218,5663,1175
Z44,Z52,0.139,7233,1405
Z44,Z54,0.678,7924,1455
Z44,Z57,0.226,8238,1231
Z44,Z59,0.644,8187,1580
Z44,Z61,0.52,9551,1285
Z44,Z63,-0.01,7526,1302
Z44,Z64,0.104,7488,1297
Z44,Z127,0.741,10656,1663
Z44,Z178,0.222,8472,1519
Z44,Z265,0.584,1068,357
Z44,Z269,-0.245,2288,621
Z44,Z311,2.508,5395,1059
Z44,Z369,3.97,13468,2017
Z45,Z22,1.533,5513,977
Z45,Z37,0.997,6528,1055
Z45,Z45,1.486,10855,1512
Z45,Z59,0.864,7948,993
Z45,Z102,1.348,9351,1365
Z45,Z127,1.162,8624,1228
Z45,Z146,1.642,10868,1529
Z45,Z192,1.401,7918,1194
Z45,Z269,0.592,6391,995
Z45,Z271,1.185,8700,1217
Z45,Z287,1.994,11519,1689
Z45,Z309,1.126,8503,1051
Z45,Z365,3.554,15360,1712
Z45,Z398,3.945,4422,1042
Z46,Z186,3.589,13966,1883
Z46,Z311,2.33,11278,1393
Z47,Z44,1.74,10452,942
Z47,Z73,2.046,7838,1028
Z47,Z105,3.83,5606,1302
Z47,Z222,1.577,4055,557
Z47,Z332,0.901,4936,737
Z47,Z369,0.9,3341,584
Z48,Z54,1.971,8942,1147
Z48,Z63,7.373,36231,2508
Z48,Z177,2.355,7625,686
Z49,Z27,4.161,14775,2028
Z49,Z59,3.448,15866,1850
Z52,Z44,2.683,11396,1436
Z52,Z181,4.327,15581,2183
Z52,Z193,4.327,15581,2183
Z53,Z43,0.278,353,98
Z53,Z44,0.948,1650,346
Z53,Z54,0.22,1859,336
Z53,Z59,1.241,4565,861
Z53,Z61,6.811,25410,2788
Z53,Z63,4.065,15226,2086
Z53,Z308,0.035,864,269
Z54,Z44,0.692,1870,395
Z54,Z53,0.921,2153,469
Z54,Z58,1.142,4784,959
Z54,Z59,1.424,7540,988
Z54,Z63,1.815,4505,691
Z54,Z105,2.84,13116,1655
Z54,Z155,3.063,6282,912
Z54,Z269,2.054,5315,760
Z54,Z353,5.394,11798,1792
Z54,Z369,2.379,9416,1357
Z54,Z387,0.672,2491,594
Z55,Z9,0.205,2748,576
Z55,Z59,0.018,2701,582
Z55,Z60,0.509,4904,822
Z55,Z61,5.192,11125,1778
Z55,Z64,2.402,11934,1522
Z55,Z107,2.8,14382,1748
Z55,Z194,1.538,7655,1066
Z55,Z344,2.572,12623,1658
Z55,Z374,4.299,16915,2416
Z56,Z191,4.194,7409,1455
Z57,Z44,0.306,2160,447
Z57,Z46,0.4,1183,231
Z57,Z54,3.984,19396,2251
Z57,Z58,2.965,15013,1819
Z57,Z185,0.291,2641,589
Z57,Z378,0.262,1917,436
Z58,Z52,0.078,1154,227
Z58,Z54,0.139,2550,513
Z58,Z57,4.353,17481,2330
Z58,Z61,3.838,12629,1617
Z59,Z44,0.432,3498,453
Z59,Z45,0.061,1504,298
Z59,Z49,0.316,1857,394
Z59,Z53,0.851,2475,547
Z59,Z54,0,0,0
Z59,Z55,-0.12,1237,244
Z59,Z59,2.9,7914,1033
Z59,Z61,2.815,14999,1790
Z59,Z294,2.573,12874,1536
Z59,Z295,2.318,12464,1379
Z59,Z309,4.107,17296,2213
Z59,Z321,1.054,2581,540
Z60,Z4,-0.007,794,180
Z60,Z55,3.07,13925,1657
Z60,Z61,2.591,12850,1481
Z60,Z327,1.909,8540,1048
Z60,Z368,4.545,16598,2167
Z60,Z374,0.263,1082,200
Z61,Z44,0.526,1452,273
Z61,Z53,1.073,2161,423
Z61,Z54,0.978,1895,343
Z61,Z55,0.39,1144,200
Z61,Z59,0,0,0
Z61,Z60,3.121,14461,1820
Z61,Z61,3.448,15723,1795
Z61,Z296,1.264,3592,711
Z61,Z343,2.659,10511,1518
Z62,Z63,0.522,3262,634
Z63,Z9,0.678,5030,867
Z63,Z48,0.938,5383,968
Z63,Z53,0.449,4522,848
Z63,Z54,0.371,3500,625
Z63,Z62,15.943,34870,3791
Z63,Z64,1.179,6625,925
Z63,Z72,2.534,12468,1661
Z63,Z105,2.943,14400,1899
Z63,Z192,3.922,16751,2225
Z63,Z247,8.049,28915,3451
Z63,Z352,5.042,18311,2288
Z63,Z383,1.787,5250,844
Z64,Z44,0.739,3063,422
Z64,Z55,1.625,5222,809
Z64,Z61,1.048,4780,648
Z64,Z63,1.091,4076,516
Z64,Z104,6.397,9262,1394
Z64,Z105,4.944,7172,1167
Z64,Z106,2.138,13630,1246
Z64,Z107,2.599,11262,1288
Z64,Z166,0.009,1505,312
Z65,Z277,0.426,4411,786
Z66,Z67,1.228,7453,965
Z66,Z145,-0.144,929,168
Z66,Z193,1.45,7819,961
Z66,Z225,2.181,10295,1268
Z67,Z54,0.431,2803,550
Z67,Z84,1.615,4351,810
Z67,Z179,1.91,5593,1060
Z67,Z339,0.846,4039,845
Z67,Z366,1.125,5583,714
Z67,Z397,13.718,23880,2466
Z67,Z398,2.453,6171,1109
Z68,Z72,1.267,5439,873
Z68,Z132,0.385,2046,326
Z68,Z136,0.544,2539,474
Z68,Z146,0.645,3560,665
Z68,Z169,0.199,1991,358
Z68,Z181,0.58,3327,630
Z68,Z187,0.556,1663,319
Z68,Z192,1.505,5164,843
Z68,Z229,0.283,1970,350
Z68,Z250,0.213,1707,341
Z68,Z264,0.927,5945,605
Z68,Z265,0.075,1218,279
Z68,Z279,0.863,4093,616
Z68,Z282,0.025,659,154
Z68,Z325,0.761,3395,660
Z68,Z334,0.165,1800,336
Z68,Z346,0.686,4390,852
Z68,Z367,0.619,3987,781
Z69,Z150,0.496,2253,527
Z69,Z265,3.361,9214,1311
Z69,Z325,2.026,2896,688
Z69,Z338,0.112,1375,509
Z69,Z394,-0.305,2442,522
Z69,Z397,-0.309,4685,1020
Z70,Z159,3.059,9168,1367
Z70,Z191,1.393,10315,1804
Z70,Z238,0.644,7545,1417
Z70,Z256,0.082,5286,972
Z70,Z270,0.068,4845,1023
Z70,Z310,0.436,9037,1249
Z70,Z325,-0.194,5001,1039
Z70,Z371,0,0,0
Z70,Z398,1.538,10870,1441
Z71,Z71,0.873,4268,687
Z71,Z209,2.45,8151,1225
Z71,Z221,-0.755,17014,1716
Z71,Z335,2.243,35867,2989
Z72,Z21,-0.294,23784,1954
Z72,Z63,-0.598,18349,1943
Z72,Z68,-0.282,18191,1818
Z72,Z97,-0.231,20414,2069
Z72,Z133,-1.013,15382,1491
Z72,Z181,0.594,19695,2120
Z72,Z186,-0.902,16237,1687
Z72,Z275,0.383,21453,2201
Z72,Z293,0.355,26835,2164
Z72,Z361,-0.441,20151,1940
Z72,Z363,3.231,27149,3067
Z72,Z366,1.261,2158,511
Z72,Z383,2.348,10078,979
Z73,Z5,0.862,3777,720
Z73,Z47,1.575,3823,733
Z73,Z76,1.984,7857,930
Z73,Z88,0.102,1391,470
Z73,Z93,1.465,6596,1297
Z73,Z102,1.032,1304,270
Z73,Z133,0.619,4551,900
Z73,Z143,1.107,6829,1174
Z73,Z156,4.398,7041,1402
Z73,Z181,2.002,2952,646
Z73,Z200,1.615,5688,866
Z73,Z214,2.415,8386,1546
Z73,Z222,1.054,5925,1029
Z73,Z236,2.554,2446,551
Z73,Z248,1.205,2131,484
Z73,Z266,3.196,9965,1120
Z73,Z276,0.624,2256,483
Z73,Z294,0.53,2745,712
Z73,Z309,0.565,3062,604
Z73,Z325,3.333,3465,766
Z73,Z341,1.954,2090,425
Z73,Z387,2.379,4028,889
Z73,Z394,0.171,1066,272
Z73,Z395,0.921,1623,303
Z73,Z397,3.816,16988,1777
Z74,Z216,1.205,2434,451
Z74,Z251,2.095,10829,1156
Z74,Z272,0.414,2700,511
Z74,Z292,3.186,14375,1395
Z74,Z341,1.555,9166,1100
Z74,Z401,2.762,11344,1644
Z75,Z41,2.603,13371,1445
Z75,Z43,1.215,7901,1032
Z75,Z186,1.021,6299,1025
Z75,Z191,0.824,4315,861
Z75,Z327,2.471,2357,531
Z76,Z73,1.862,8925,1142
Z76,Z235,0.201,1289,308
Z77,Z93,0.485,4357,846
Z77,Z139,0.018,2384,740
Z77,Z187,2.48,9447,1262
Z77,Z191,0.469,4605,903
Z77,Z201,0.079,2173,544
Z77,Z265,-0.184,1236,243
Z77,Z397,0.785,3818,524
Z78,Z154,2.224,7785,1134
Z78,Z314,1.944,3969,699
Z79,Z94,0.772,5224,719
Z79,Z130,0.452,3850,676
Z79,Z150,0.518,1630,290
Z79,Z175,1.127,6184,1047
Z79,Z189,1.818,5357,862
Z79,Z194,0.248,1297,293
Z79,Z246,0.44,1985,372
Z79,Z263,0.958,5547,935
Z79,Z269,1.312,3146,562
Z79,Z309,0.81,2469,342
Z79,Z314,0.255,3064,580
Z79,Z365,0.944,5501,846
Z79,Z367,0.615,3418,515
Z79,Z398,3.814,13292,1680
Z80,Z91,0.519,2945,547
Z80,Z331,0.923,3667,520
Z80,Z334,1.409,5646,969
Z80,Z389,0.547,977,214
Z82,Z9,1.19,9075,1282
Z82,Z350,1.177,1734,347
Z83,Z86,0.545,6061,1124
Z83,Z129,0.636,3783,680
Z83,Z192,0.414,2769,529
Z83,Z220,0.415,3310,625
Z83,Z229,1.412,6006,1076
Z83,Z248,2.665,14935,1908
Z83,Z314,0.144,1606,389
Z83,Z337,0.126,4525,873
Z83,Z365,1.991,9734,985
Z83,Z367,1.094,3971,586
Z84,Z67,1.189,2895,492
Z84,Z136,3.216,11003,1166
Z84,Z197,4.058,10729,1364
Z84,Z201,2.469,8838,989
Z84,Z345,0.501,2119,390
Z85,Z364,2.045,7872,1230
Z86,Z21,0.28,1309,289
Z86,Z83,0.792,2589,444
Z86,Z117,0.18,1488,326
Z86,Z136,1.07,5643,730
Z86,Z181,0.999,2297,427
Z86,Z192,1.339,4348,711
Z86,Z197,0.535,3802,588
Z86,Z208,0.488,2244,452
Z86,Z265,0.718,4600,723
Z86,Z270,1.365,6039,917
Z86,Z296,1.073,3957,704
Z86,Z365,6.596,38089,2779
Z87,Z9,0,0,0
Z87,Z25,0.635,532,143
Z87,Z87,1.13,6642,984
Z87,Z88,4.146,23424,1900
Z87,Z146,0.68,5783,1031
Z87,Z161,0.499,4435,866
Z87,Z176,0.915,1108,272
Z87,Z192,0.116,2279,352
Z87,Z234,1.618,1162,339
Z87,Z309,3.244,15618,1575
Z87,Z345,-0.094,533,144
Z87,Z401,1.926,11460,1441
Z88,Z87,0.108,3915,872
Z88,Z117,0.385,3972,818
Z88,Z191,1.132,7784,1224
Z88,Z193,0.187,3578,652
Z88,Z247,0.554,5892,1161
Z88,Z312,0.215,3976,643
Z88,Z325,0.31,3439,663
Z88,Z371,2.087,3068,632
Z88,Z397,1.532,5391,866
Z89,Z130,1.934,5440,575
Z89,Z154,1.062,2287,476
Z89,Z160,0.87,4292,816
Z89,Z252,2.934,5683,880
Z89,Z265,1.347,2748,470
Z89,Z394,3.126,9464,1371
Z90,Z9,2.575,10784,1302
Z90,Z44,0.886,3891,687
Z90,Z136,0.682,3977,535
Z90,Z264,1.723,7295,1061
Z91,Z80,0.931,4303,752
Z91,Z136,0.571,2067,428
Z91,Z193,2.495,6576,902
Z91,Z263,0.973,3784,628
Z91,Z294,4.484,7173,1154
Z91,Z309,1.551,3567,634
Z91,Z311,0.7,12703,2035
Z91,Z314,1.973,10303,1235
Z92,Z79,0.96,3445,625
Z93,Z21,0.216,2300,486
Z93,Z222,0.55,3653,698
Z94,Z21,2.625,13564,1280
Z94,Z186,2.945,5974,749
Z94,Z231,0.408,3690,621
Z94,Z254,0.056,3173,489
Z94,Z292,0.755,5804,689
Z94,Z295,0.567,5856,801
Z94,Z319,2.372,10270,1165
Z94,Z367,0.488,4527,681
Z94,Z372,2.383,6168,802
Z94,Z385,-0.173,2001,406
Z94,Z397,0.039,4487,938
Z95,Z19,2.444,10634,1555
Z95,Z34,0.886,8167,1265
Z95,Z35,0,0,0
Z95,Z45,0.73,7923,1338
Z95,Z86,-0.2,3475,916
Z95,Z95,1.038,1963,414
Z95,Z181,-0.049,3961,853
Z95,Z191,0.532,6679,1105
Z95,Z254,0.186,5528,1011
Z95,Z296,2.871,15118,1848
Z95,Z315,-0.163,3468,691
Z95,Z321,3.413,15528,1716
Z95,Z372,9.103,50089,3847
Z95,Z397,12.298,17621,2282
Z96,Z161,0.43,3381,779
Z97,Z14,1.638,10497,1121
Z97,Z27,1.201,4342,813
Z97,Z72,3.281,14980,1559
Z97,Z118,2.236,11589,1469
Z97,Z127,1.502,5328,929
Z97,Z144,1.292,4582,851
Z97,Z160,1.904,6483,935
Z97,Z189,2.302,7282,1037
Z97,Z221,1.389,5181,738
Z97,Z275,0.793,3395,768
Z97,Z298,1.247,4493,716
Z97,Z318,1.6,5478,764
Z97,Z333,1.832,3926,779
Z97,Z349,1.062,4251,593
Z97,Z361,0.638,3016,531
Z97,Z372,13.458,21747,2270
Z98,Z5,0.977,4313,598
Z98,Z41,1.792,7899,954
Z98,Z68,1.872,7717,886
Z98,Z72,0.799,3620,640
Z98,Z119,0.73,3422,514
Z98,Z121,1.095,2372,495
Z98,Z122,2.303,7977,890
Z98,Z142,0.685,3160,506
Z98,Z151,2.627,7804,906
Z98,Z159,1.191,5110,871
Z98,Z160,3.407,12867,1481
Z98,Z180,0.884,1620,355
Z98,Z201,3.427,7936,1276
Z98,Z202,0.464,2089,405
Z98,Z221,2.45,6373,994
Z98,Z240,0.977,3357,642
Z98,Z259,1.284,5137,790
Z98,Z264,1.55,6657,760
Z98,Z289,0.494,2616,480
Z98,Z310,2.109,8743,1397
Z98,Z323,0.944,4229,527
Z98,Z328,1.836,7100,1055
Z98,Z334,1.806,6093,854
Z98,Z337,0.569,3952,717
Z98,Z343,0.744,4427,614
Z98,Z349,2.908,8251,1159
Z98,Z351,0.682,3542,459
Z99,Z332,2.587,7201,1041
Z100,Z193,1.965,9434,1224
Z100,Z247,1.359,2599,527
Z100,Z267,5.889,16487,2109
Z101,Z247,0.197,672,166
Z102,Z45,3.306,7992,1313
Z102,Z97,2.882,3741,808
Z102,Z143,1.564,7841,936
Z102,Z149,3.207,9900,1110
Z102,Z193,0.566,2618,543
Z102,Z259,0.625,2204,421
Z102,Z266,0.257,2319,465
Z102,Z292,5.85,18236,2261
Z102,Z294,1.348,4396,758
Z102,Z296,1.092,1986,497
Z102,Z310,0.695,2820,470
Z102,Z319,2.87,11168,1305
Z102,Z383,1.675,3373,693
Z103,Z133,1.62,6104,990
Z103,Z139,1.755,5810,832
Z103,Z192,0,0,0
Z103,Z275,0.398,1531,411
Z103,Z276,4.184,4150,913
Z103,Z349,3.015,11254,1046
Z103,Z350,1.429,5850,1107
Z104,Z104,0.187,1543,412
Z104,Z105,0,0,0
Z104,Z107,5.716,6819,1277
Z105,Z47,3.895,3317,717
Z105,Z63,1.977,9799,912
Z105,Z104,1.486,9766,901
Z105,Z105,4.057,13492,1652
Z105,Z106,4.924,20909,2316
Z105,Z107,7.743,31192,3165
Z105,Z161,4.497,20743,2211
Z105,Z164,-0.044,9915,1378
Z105,Z168,0.314,11705,1494
Z105,Z196,-0.214,8986,1389
Z105,Z318,-0.171,8282,1257
Z105,Z375,0,0,0
Z106,Z61,3.682,11378,1908
Z106,Z64,0.626,12332,1693
Z106,Z104,-0.007,9708,1331
Z106,Z105,2.515,20912,2325
Z106,Z106,-0.441,3903,854
Z106,Z107,4.987,9970,1882
Z106,Z108,0.052,6310,1102
Z106,Z109,6.182,9569,1700
Z106,Z398,1.144,4902,632
Z107,Z105,6.258,8303,1263
Z107,Z106,4.48,5645,1210
Z107,Z109,1.289,8594,747
Z108,Z106,8.212,32677,3162
Z109,Z104,1.596,6112,708
Z109,Z106,1.032,4065,509
Z109,Z107,0.799,2907,494
Z109,Z164,0.849,4084,394
Z109,Z318,1.33,5029,736
Z110,Z21,3.013,6507,1019
Z110,Z247,0.795,2621,464
Z110,Z263,1.574,3850,753
Z110,Z277,-0.24,8524,1477
Z111,Z39,1.906,8018,1293
Z111,Z238,0.911,6643,1208
Z111,Z325,3.142,2888,686
Z111,Z339,1.59,15918,2001
Z113,Z181,1.597,12208,1852
Z115,Z23,0.084,2759,490
Z115,Z138,0.255,10531,1594
Z115,Z215,0.218,13344,2020
