O,D,V,Dis,Time
Z306,Z117,-0.051,3417,617
Z308,Z10,4.634,21750,2925
Z308,Z53,0.268,6230,1001
Z308,Z133,0.741,6242,1086
Z308,Z144,4.185,7243,1108
Z308,Z230,2.437,6206,853
Z308,Z275,2.788,12972,1320
Z308,Z292,1.218,5781,829
Z308,Z298,0.919,2271,407
Z308,Z308,0.641,3697,520
Z308,Z318,1.37,5119,751
Z308,Z326,6.751,28560,2619
Z308,Z333,1.534,6835,907
Z308,Z353,1.465,4876,648
Z308,Z361,2.764,3193,643
Z308,Z395,0.37,661,104
Z308,Z401,0.13,2264,496
Z308,Z402,2.07,2287,446
Z309,Z23,2.746,5518,1138
Z309,Z45,1.737,8333,1065
Z309,Z59,0.322,2110,544
Z309,Z79,2.254,9353,1297
Z309,Z87,0.387,3507,523
Z309,Z91,-0.019,609,113
Z309,Z148,0.771,1362,265
Z309,Z168,0.142,1218,328
Z309,Z229,-0.019,1069,345
Z309,Z252,-0.074,7543,1375
Z309,Z266,-0.124,7634,1354
Z309,Z310,3.463,3892,779
Z309,Z320,0.361,2878,545
Z309,Z394,2.117,9619,1185
Z309,Z395,0.854,3467,572
Z310,Z118,1.56,3954,578
Z310,Z191,0.708,1835,355
Z310,Z208,0.592,3357,486
Z310,Z279,0,0,0
Z310,Z309,0.671,4015,681
Z310,Z339,1.184,2635,469
Z310,Z398,1.08,5331,946
Z311,Z46,0.086,4265,773
Z311,Z91,5.226,12024,2009
Z311,Z320,0.206,4140,730
Z312,Z23,0.419,723,250
Z312,Z279,0.995,8644,1188
Z312,Z293,0.355,3860,761
Z312,Z374,0.118,4501,813
Z313,Z66,2.494,5885,959
Z313,Z148,1.886,6092,991
Z313,Z179,0.487,3077,491
Z313,Z313,0.36,2273,446
Z313,Z367,0.68,3895,668
Z314,Z78,0.705,2297,388
Z314,Z83,1.269,6467,745
Z314,Z91,0.146,1585,248
Z314,Z113,2.08,8896,1005
Z314,Z156,0.325,1245,260
Z314,Z289,0.889,4807,896
Z314,Z343,0.328,2338,352
Z314,Z346,0.31,7219,1482
Z314,Z385,4.746,31471,2750
Z315,Z95,0.143,4792,995
Z315,Z143,0.998,2800,509
Z315,Z146,0.029,2148,593
Z315,Z181,4.796,21315,2701
Z315,Z193,4.283,7554,1118
Z315,Z284,1.832,4176,836
Z315,Z293,0.156,910,259
Z315,Z334,0.414,1520,490
Z315,Z390,1.573,5669,833
Z316,Z170,0.83,4453,503
Z316,Z191,0,0,0
Z317,Z265,3.848,11052,1400
Z318,Z97,1.004,4647,637
Z318,Z105,1.323,4283,511
Z318,Z123,3.631,7452,1040
Z318,Z308,3.896,6558,978
Z318,Z333,1.778,6333,919
Z318,Z395,1.872,4950,572
Z319,Z23,1.133,4090,450
Z319,Z134,1.003,3511,750
Z319,Z145,0.531,2354,268
Z319,Z191,2.485,4896,696
Z319,Z196,2.101,4521,708
Z319,Z277,3.53,5389,888
Z319,Z319,0.817,3751,590
Z319,Z335,4.979,7711,1221
Z319,Z343,2.488,7078,1291
Z320,Z17,1.131,4582,652
Z320,Z19,1.456,4114,542
Z320,Z22,1.227,4588,739
Z320,Z40,2.561,5684,1116
Z320,Z66,0.566,1770,422
Z320,Z67,4.641,7454,1153
Z320,Z73,3.202,6745,1393
Z320,Z89,0.541,1726,338
Z320,Z130,2.768,12484,1087
Z320,Z134,1.103,3445,592
Z320,Z135,2.638,4376,809
Z320,Z151,0.499,4179,675
Z320,Z200,7.411,13886,2031
Z320,Z236,1.503,6386,1141
Z320,Z247,0.418,2568,532
Z320,Z252,1.223,6437,1025
Z320,Z255,0.536,3538,581
Z320,Z262,0.998,5294,902
Z320,Z309,0.678,4265,809
Z320,Z311,0.869,4676,769
Z320,Z395,1.9,8276,1158
Z320,Z398,0.358,4321,702
Z321,Z59,0.74,1924,368
Z321,Z148,0.327,3416,601
Z321,Z394,0.692,1890,379
Z322,Z98,2.711,7238,1340
Z322,Z116,1.411,6448,1005
Z322,Z133,3.852,12367,1506
Z322,Z181,3.506,4850,669
Z322,Z263,4.947,10421,1345
Z322,Z264,2.541,7512,1059
Z322,Z292,3.148,5205,933
Z322,Z296,0.9,3567,591
Z322,Z325,1.279,1939,216
Z322,Z401,0.61,2759,537
Z323,Z98,2.459,7443,967
Z323,Z250,1.204,2502,349
Z323,Z265,1.948,4720,751
Z324,Z250,2.542,10488,1265
Z324,Z267,1.274,2966,447
Z324,Z351,0.94,4636,763
Z324,Z353,1.532,5967,800
Z325,Z12,1.582,5562,713
Z325,Z23,1.536,6671,882
Z325,Z43,2.055,4597,601
Z325,Z70,3.673,7991,1354
Z325,Z73,1.805,3308,439
Z325,Z94,1.052,2261,325
Z325,Z101,0.856,4495,778
Z325,Z131,1.184,4784,590
Z325,Z139,1.856,7930,991
Z325,Z143,1.478,5495,1004
Z325,Z144,1.494,6385,848
Z325,Z159,1.313,5616,684
Z325,Z180,1.911,5140,812
Z325,Z189,1.988,4209,672
Z325,Z196,0.618,3639,690
Z325,Z202,0,0,0
Z325,Z204,2.753,11363,1188
Z325,Z226,3.919,10040,1140
Z325,Z237,0.602,3376,587
Z325,Z240,1.36,5454,966
Z325,Z242,0.936,4456,591
Z325,Z248,3.376,10278,1180
Z325,Z255,2.869,5506,911
Z325,Z256,0.349,2570,571
Z325,Z263,1.29,3389,629
Z325,Z269,2.971,8590,1057
Z325,Z272,1.535,8903,928
Z325,Z276,2.091,6256,1083
Z325,Z322,2.288,13662,1581
Z325,Z325,0.838,2845,501
Z325,Z333,1.884,3539,665
Z325,Z338,0.788,2229,414
Z325,Z343,1.201,5877,915
Z325,Z349,0.871,4327,787
Z325,Z367,3.254,5939,757
Z325,Z391,1.021,6514,832
Z325,Z394,2.683,12196,1344
Z326,Z117,1.18,6036,787
Z326,Z260,1.387,6959,881
Z326,Z308,1.143,5915,598
Z326,Z367,1.406,9646,1244
Z327,Z43,3.405,16154,1859
Z327,Z60,0.987,2373,421
Z327,Z154,1.044,1467,256
Z327,Z158,0.666,6294,1104
Z327,Z222,0.382,5385,906
Z327,Z248,0.816,6346,1128
Z327,Z346,0.788,10977,1370
Z327,Z347,-0.1,1943,376
Z328,Z98,5.07,5852,1622
Z328,Z186,0.139,3854,719
Z328,Z192,-0.09,1947,367
Z328,Z193,0.631,5548,1003
Z328,Z398,0.898,7535,1023
Z329,Z341,2.076,14563,1872
Z329,Z372,0.487,7460,1402
Z330,Z42,0.428,5491,1121
Z330,Z138,2.792,3785,848
Z330,Z192,2.396,15216,1802
Z330,Z265,0.785,3987,827
Z331,Z24,2.288,15058,1729
Z331,Z80,1.48,3270,550
Z331,Z144,1.104,3102,580
Z331,Z230,0,0,0
Z331,Z251,0.245,1302,329
Z331,Z275,0.507,1992,501
Z331,Z361,0.508,4035,702
Z332,Z47,1.407,4595,760
Z332,Z186,1.714,4454,890
Z333,Z84,0.666,2274,302
Z333,Z97,0.221,737,132
Z333,Z149,0.392,2572,461
Z333,Z193,0.224,1901,359
Z333,Z221,0.531,2755,506
Z333,Z247,0.482,2822,466
Z333,Z308,0.463,2475,412
Z333,Z318,2.383,4931,1098
Z333,Z333,1.692,7936,885
Z333,Z361,0.687,3073,589
Z333,Z372,2.488,6806,1013
Z333,Z401,0.497,1575,322
Z334,Z9,0.583,1718,409
Z334,Z16,1.351,5991,859
Z334,Z41,0.773,3972,613
Z334,Z68,0.926,4734,595
Z334,Z80,0.165,1210,261
Z334,Z98,0.194,1242,283
Z334,Z119,0.298,1093,218
Z334,Z151,2.832,5751,1043
Z334,Z153,0.385,5989,975
Z334,Z183,1.811,2427,607
Z334,Z185,1.011,1702,367
Z334,Z193,0.122,4099,569
Z334,Z237,0.797,10243,1158
Z334,Z247,0.782,5661,770
Z334,Z253,-0.103,5511,806
Z334,Z270,0.056,1621,309
Z334,Z296,1.385,3978,699
Z334,Z343,2.837,13865,1279
Z334,Z367,0.711,5016,785
Z334,Z368,1.305,5326,829
Z334,Z386,1.835,10427,1163
Z334,Z394,3.541,21423,1710
Z335,Z137,2.83,13580,1526
Z335,Z258,1.1,8638,863
Z335,Z336,0.488,2501,451
Z336,Z186,0.864,2678,534
Z336,Z193,0.461,1488,396
Z336,Z237,3.852,8123,1393
Z336,Z293,0.819,7003,1099
Z336,Z335,0.552,3296,584
Z337,Z7,1.38,9195,833
Z337,Z9,1.848,11325,1279
Z337,Z21,1.908,10837,1153
Z337,Z24,0.966,4423,810
Z337,Z38,0.748,2393,493
Z337,Z60,2.017,11186,1129
Z337,Z83,6.449,9147,2252
Z337,Z98,5.345,6546,1033
Z337,Z123,1.864,10899,1103
Z337,Z126,2.581,4844,767
Z337,Z144,1.413,9594,991
Z337,Z149,0.525,4577,517
Z337,Z181,0.657,4950,780
Z337,Z186,1.279,9436,1039
Z337,Z187,2.54,7608,1095
Z337,Z191,3.08,13840,1465
Z337,Z193,1.415,3291,626
Z337,Z203,0,0,0
Z337,Z221,0.421,2617,601
Z337,Z229,3.367,8081,1446
Z337,Z230,1.963,12631,1178
Z337,Z233,1.761,10831,1109.1
Z337,Z248,1.05,8323,1366
Z337,Z259,2.245,12646,1805
Z337,Z265,0.56,6445,1076
Z337,Z292,-0.102,493,167
Z337,Z293,1.29,9404,1428
Z337,Z296,0.425,4809,901
Z337,Z308,0.328,3811,715
Z337,Z314,2.189,10651,1337
Z337,Z331,0.44,3637,703
Z337,Z337,1.243,5333,775
Z337,Z349,1.129,3141,591
Z337,Z383,0.876,5967,929
Z337,Z385,0.676,5759,853
Z337,Z386,-0.027,1107,230
Z338,Z69,0.394,3616,849
Z338,Z133,-0.412,3813,798
Z338,Z192,0.691,4078,757
Z338,Z201,0.803,3502,737
Z338,Z325,1.8,6240,1146
Z338,Z363,2.346,11456,1429
Z339,Z67,1.204,7061,998
Z339,Z133,0.191,1834,374
Z339,Z192,0.525,2445,580
Z339,Z222,2.168,9068,1344
Z339,Z234,2.467,7584,1383
Z339,Z263,1.614,8003,1293
Z339,Z265,0.674,4023,733
Z339,Z310,1.389,8807,1040
Z339,Z325,0.555,2012,492
Z340,Z279,2.939,12509,1651
Z340,Z394,1.132,5921,841
Z341,Z73,2.201,9694,1071
Z341,Z94,7.568,43035,3098
Z341,Z122,3.517,8750,1336
Z341,Z151,2.753,16030,1385
Z341,Z179,0.494,3129,372
Z341,Z194,0.692,4140,696
Z341,Z208,3.275,10242,1241
Z341,Z237,0.425,2668,426
Z341,Z324,3.68,5622,919
Z341,Z396,0.647,2692,430
Z342,Z62,1.714,7241,1010
Z342,Z67,2.425,7604,1333
Z342,Z133,2.062,7239,1249
Z342,Z177,0.699,4290,505
Z343,Z8,0.633,3261,536
Z343,Z25,0.446,2975,465
Z343,Z37,0.084,579,148
Z343,Z61,3.263,14913,1498
Z343,Z98,1.207,11222,1419
Z343,Z156,-0.233,4609,1048
Z343,Z184,1,7529,1189
Z343,Z265,0.358,3381,685
Z343,Z268,2.032,10174,1491
Z343,Z270,0.486,786,210
Z343,Z271,0.623,3075,559
Z343,Z289,1.022,7155,1189
Z343,Z314,0.52,1336,295
Z343,Z319,0.671,8734,1384
Z343,Z325,0.075,4672,864
Z343,Z334,1.06,6079,1083
Z343,Z379,3.454,6316,1267
Z344,Z55,0.819,7297,1140
Z345,Z84,0.459,5385,946
Z345,Z102,0.801,4822,811
Z346,Z35,1.266,8716,1170
Z346,Z68,1.304,8961,1294
Z346,Z133,0.991,6038,978
Z346,Z224,2.485,7037,1273
Z346,Z229,1.468,10097,1260
Z346,Z296,0.838,1442,320
Z346,Z330,1.469,6820,1052
Z347,Z264,3.749,6870,964
Z347,Z327,0.485,3173,445
Z348,Z133,11.965,16053,1869
Z348,Z149,0.372,3973,600
Z348,Z150,0.447,3333,568
Z348,Z181,0.918,7154,790
Z348,Z186,1.011,1763,369
Z348,Z192,0.865,3601,794
Z348,Z193,0.211,2452,416
Z348,Z209,0.55,2692,350
Z348,Z238,0.894,3722,670
Z348,Z398,0.98,2644,455
Z348,Z402,1.894,3618,647
Z349,Z10,0.431,3107,440
Z349,Z12,1.178,7306,792
Z349,Z21,0.499,2600,525
Z349,Z72,0,0,0
Z349,Z86,3.772,11585,1401
Z349,Z97,1.087,5283,613
Z349,Z103,0.562,844,210
Z349,Z131,-0.052,833,165
Z349,Z144,0.335,5589,888
Z349,Z174,1.571,9693,1374
Z349,Z186,-0.045,2969,558
Z349,Z197,0.426,5698,994
Z349,Z260,1.575,10206,1259
Z349,Z267,-0.024,1207,278
Z349,Z293,0.616,6295,1227
Z349,Z325,0.02,1720,352
Z349,Z337,1.365,6710,1109
Z349,Z349,1.197,9181,1165
Z349,Z394,0.331,5275,917
Z349,Z401,0.577,5525,1090
Z350,Z42,0.763,6487,1211
Z350,Z82,0.647,4985,860
Z350,Z103,-0.061,878,171
Z350,Z133,0.974,6397,1032
Z350,Z156,0.173,3023,497
Z350,Z181,2.951,18310,1938
Z350,Z186,1.57,9425,1296
Z350,Z189,0.2,2361,422
Z350,Z194,-0.063,1448,295
Z350,Z229,0.315,4959,775
Z350,Z252,0,0,0
Z350,Z341,0.283,1204,281
Z351,Z98,-0.115,5179,952
Z351,Z191,0.252,6601,1151
Z351,Z193,5.004,22597,2550
Z351,Z247,1.657,12140,1778
Z351,Z255,0.627,7867,1208
Z351,Z324,-0.48,4555,803
Z352,Z39,0,0,0
Z352,Z63,0.58,9344,1516
Z352,Z133,-0.592,6546,1273
Z352,Z220,0.728,3475,575
Z352,Z229,12.482,20907,2506
Z352,Z265,1.862,10296,1248
Z352,Z352,0.134,2269,374
Z353,Z3,1.302,8562,1281
Z353,Z54,2.777,3852,833
Z353,Z79,0.559,2094,441
Z353,Z308,0.765,4305,762
Z353,Z324,0.913,7906,1044
Z355,Z384,1.465,3337,535
Z358,Z271,0.989,2791,624
Z358,Z358,1.603,5628,969
Z359,Z192,0.169,1296,334
Z359,Z398,0,0,0
Z361,Z24,2.373,16096,1476
Z361,Z72,0.584,2606,517
Z361,Z94,3.032,6873,1178
Z361,Z123,0.88,3253,534
Z361,Z133,3.497,7267,1159
Z361,Z149,1.275,3526,586
Z361,Z241,2.669,7903,1108
Z361,Z275,14.202,26203,2776
Z361,Z293,0.252,1319,310
Z361,Z308,1.339,3925,620
Z361,Z318,1.042,4984,882
Z361,Z331,2.891,5823,898
Z361,Z333,3.495,14551,1573
Z361,Z361,1.347,6621,695
Z361,Z363,1.061,11156,1509
Z361,Z372,1.296,10196,1636
Z361,Z383,0.127,1935,436
Z361,Z402,0.668,4189,829
Z363,Z2,0,0,0
Z363,Z9,2.149,3392,757
Z363,Z18,0.712,2589,481
Z363,Z72,1.864,5870,907
Z363,Z180,13.546,25334,2650
Z363,Z252,0.165,2946,537
Z363,Z263,0.465,1604,391
Z363,Z338,1.048,7986,1051
Z363,Z361,1.642,9009,1229
Z363,Z373,0.81,5021,792
Z364,Z85,1.435,3569,648
Z364,Z133,1.248,5842,974
Z364,Z251,0.271,3202,461
Z364,Z275,0.222,3971,638
Z364,Z364,0.512,3233,620
Z364,Z383,0.122,1339,301
Z365,Z4,0.588,5693,1099
Z365,Z45,0.6,5360,931
Z365,Z72,0.144,864,201
Z365,Z79,0.098,2043,398
Z365,Z83,0.811,3510,578
Z365,Z86,0.508,3294,576
Z365,Z133,1.126,5489,816
Z365,Z136,0.044,1689,368
Z365,Z138,0.204,3857,670
Z365,Z139,0.092,3640,658
Z365,Z146,2.648,10304,1276
Z365,Z151,0.709,6227,1011
Z365,Z154,6.885,41035,3084
Z365,Z189,7.255,42839,3098
Z365,Z191,12.347,19363,2230
Z365,Z193,-0.023,2286,658
Z365,Z196,2.993,6258,913
Z365,Z202,1.26,3384,500
Z365,Z208,2.202,5967,966
Z365,Z209,0.588,2826,456
Z365,Z222,1.708,5510,864
Z365,Z247,4.734,8490,1092
Z365,Z264,0.426,1779,311
Z365,Z367,3.115,4969,853
Z365,Z393,0.406,2302,284
Z365,Z397,1.955,7471,978
Z366,Z25,0.667,3004,474
Z366,Z30,0.487,1938,347
Z366,Z72,1.137,5790,760
Z366,Z191,0.736,3259,662
Z367,Z3,1.34,7100,824
Z367,Z9,1.479,5572,803
Z367,Z43,1.324,3783,534
Z367,Z68,0.931,3519,557
Z367,Z83,0.544,1973,416
Z367,Z115,0.43,2041,341
Z367,Z119,1.357,4117,733
Z367,Z120,1.87,3837,705
Z367,Z127,2.02,9184,854
Z367,Z133,0.623,2839,381
Z367,Z142,0.922,3787,573
Z367,Z146,1.799,8608,953
Z367,Z181,1.301,5475,606
Z367,Z193,0.393,2088,323
Z367,Z207,1.382,4586,647
Z367,Z220,1.728,4988,811
Z367,Z252,0,0,0
Z367,Z255,0.643,3016,537
Z367,Z263,2.305,13105,1155
Z367,Z264,1.217,5908,650
Z367,Z271,0.629,2489,562
Z367,Z289,0.277,1801,420
Z367,Z300,2.648,11854,1732
Z367,Z313,0.499,3896,520
Z367,Z325,0.377,6132,853
Z367,Z326,0.943,7500,1000
Z367,Z328,2.443,9408,1134
Z367,Z334,0.939,2784,526
Z367,Z365,1.178,2611,534
Z367,Z366,1.819,7835,1165
Z367,Z367,0.818,3276,459
Z367,Z386,1.96,3497,634
Z368,Z60,0.452,2656,378
Z368,Z67,1.172,5551,809
Z368,Z247,2.653,6113,773
Z368,Z334,0.934,3974,481
Z369,Z44,2.836,17859,1831
Z369,Z47,3.968,12271,1797
Z369,Z54,0.266,1481,321
Z369,Z192,0.063,1126,238
Z370,Z144,1.843,11047,1410
Z371,Z8,0.526,6423,1168
Z371,Z9,0.91,9810,1533
Z371,Z39,0.225,1693,325
Z371,Z67,2.162,14943,1694
Z371,Z88,2.73,13341,1641
Z371,Z127,2.967,13948,1552
Z371,Z146,1.282,6567,863
Z371,Z294,1.665,6853,808
Z371,Z398,1.511,7994,707
Z372,Z8,1.949,7978,1028
Z372,Z11,1.492,7037,902
Z372,Z24,2.366,10464,1420
Z372,Z71,0.71,2642,268
Z372,Z94,0.564,3229,530
Z372,Z97,0,0,0
Z372,Z181,1.34,5119,729
Z372,Z333,3.046,15849,1695
Z372,Z397,0.964,5032,915
Z373,Z181,0.106,578,153
Z373,Z292,0.411,2188,401
Z373,Z363,2.806,21027,2425
Z374,Z55,-0.063,3020,722
Z374,Z60,4.193,29250,3163
Z374,Z154,12.414,25029,3368
Z374,Z193,1.863,17055,2171
Z374,Z209,0.365,7831,1571
Z374,Z301,1.127,13347,2161
Z374,Z312,2.912,8276,1781
Z374,Z374,1.888,17452,2248
Z375,Z186,2.794,14403,2386
Z378,Z57,0.622,11187,1678
Z379,Z191,1.376,16046,2200
Z379,Z343,0.378,7761,1498
Z381,Z181,0.089,3379,761
Z383,Z17,0,0,0
Z383,Z24,2.412,7244,994
Z383,Z63,2.913,12377,1296
Z383,Z72,1.111,3361,588
Z383,Z102,1.192,6023,844
Z383,Z123,2.101,7642,1144
Z383,Z137,1.56,5538,879
Z383,Z149,2.854,10153,1303
Z383,Z192,2.594,6919,944
Z383,Z238,1.701,4070,658
Z383,Z292,1.547,6577,1093
Z383,Z296,0.946,3345,575
Z383,Z337,1.557,5645,888
Z383,Z364,4.378,10317,1335
Z383,Z383,2.157,5820,828
Z384,Z15,0.543,2208,307
Z385,Z94,1.324,4204,711
Z385,Z123,4.134,10874,1420
Z385,Z148,0.463,2638,540
Z385,Z151,1.202,5079,923
Z385,Z208,0.866,5248,740
Z385,Z240,1.068,3786,593
Z385,Z260,0.115,1412,260
Z385,Z294,1.107,12015,1649
Z385,Z314,-0.356,1681,428
Z385,Z324,-0.546,3927,837
Z385,Z327,1.904,6631,1364
Z386,Z4,-0.318,5452,1096
Z386,Z11,0,0,0
Z386,Z18,-0.44,3422,797
Z386,Z41,0.971,4712,699
Z386,Z139,2.93,9843,1077
Z386,Z140,0.468,2296,439
Z386,Z142,0.319,3146,567
Z386,Z154,0.802,2313,469
Z386,Z177,1.449,2233,434
Z386,Z240,3.665,6893,958
Z386,Z334,1.928,10063,790
Z387,Z54,0.471,2237,398
Z387,Z134,0.589,4444,659
Z387,Z179,1.551,6849,972
Z387,Z254,0.84,3510,599
Z387,Z320,1.631,9221,1244
Z387,Z387,0.432,6264,1269
Z387,Z397,1.008,7944,1158
Z388,Z118,0.019,1118,296
Z388,Z201,0.985,6489,994
Z388,Z325,-0.002,2800,611
Z389,Z80,-0.199,3041,752
Z389,Z133,0.082,5365,735
Z389,Z237,0.893,9166,1416
Z389,Z254,-0.257,3364,830
Z389,Z290,-0.284,2882,655
Z389,Z293,2.293,11023,1779
Z389,Z319,0.41,6628,1022
Z389,Z365,0.299,6431,1008
Z390,Z157,-0.015,5285,1095
Z390,Z315,-0.112,4656,882
Z391,Z191,-0.116,4057,757
Z391,Z192,2.89,8690,1384
Z393,Z223,-0.245,4104,875
Z394,Z9,-0.233,4317,917
Z394,Z34,0.001,2621,582
Z394,Z69,4.82,22815,2769
Z394,Z89,0.234,5749,1130
Z394,Z181,0,0,0
Z394,Z191,-0.187,4559,916
Z394,Z193,-0.098,5477,1160
Z394,Z236,1.553,7036,1012
Z394,Z264,1.384,4082,750
Z394,Z282,0.994,3939,781
Z394,Z296,2.143,8723,1256
Z394,Z320,1.366,4512,601
Z394,Z321,4.114,7275,1093
Z395,Z20,0.734,2164,473
Z395,Z73,0.345,1043,231
Z395,Z193,1.001,2648,587
Z395,Z276,1.549,3098,560
Z395,Z308,1.501,5162,988
Z395,Z309,2.069,3596,765
Z395,Z395,3.051,11481,1235
Z395,Z397,1.772,2636,547
Z395,Z398,1.161,1635,325
Z396,Z192,1.026,6192,841
Z396,Z271,1.522,6201,883
Z396,Z341,1.474,6708,970
Z397,Z4,1.309,6525,856
Z397,Z9,1.394,4908,633
Z397,Z23,2.683,2777,606
Z397,Z34,0.669,2066,391
Z397,Z74,1.871,2612,486
Z397,Z77,1.533,3256,694
Z397,Z88,4.532,17651,1818
Z397,Z94,1.363,7158,979
Z397,Z95,0.658,3176,811
Z397,Z126,3.232,14775,1605
Z397,Z132,2.604,11485,1293
Z397,Z143,1.632,7007,1034
Z397,Z150,3.823,15844,1555
Z397,Z154,3.444,3613,768
Z397,Z189,2.639,5114,1081
Z397,Z248,2.442,8963,1459
Z397,Z252,0.839,2521,574
Z397,Z266,1.672,7496,1072
Z397,Z271,2.619,8820,1420
Z397,Z273,2.479,6592,953
Z397,Z276,0.611,3560,717
Z397,Z318,0.577,3742,457
Z397,Z322,8.638,22369,2390
Z397,Z325,2.848,3855,833
Z397,Z337,1.051,2945,664
Z397,Z349,4.713,25253,1979
Z397,Z365,1.2,6868,1134
Z397,Z372,1.587,7062,1085
Z397,Z387,0.326,1545,446
Z397,Z395,2.453,7708,953
Z398,Z16,1.324,6396,922
Z398,Z34,2.883,4870,1052
Z398,Z38,4.253,8938,1554
Z398,Z42,0.904,5416,630
Z398,Z45,0.505,3454,719
Z398,Z67,1.948,9313,935
Z398,Z89,1.754,8190,1254
Z398,Z106,0.85,4300,858
Z398,Z135,2.636,4030,840
Z398,Z159,3.736,10024,1127
Z398,Z161,4.385,7024,1479
Z398,Z181,0.865,5346,609
Z398,Z189,0,0,0
Z398,Z193,0.769,11834,1871
Z398,Z201,0.884,7336,1073
Z398,Z247,1.355,9776,1602
Z398,Z254,3.486,17907,1818
Z398,Z268,4.096,18364,1943
Z398,Z279,2.451,15849,1726
Z398,Z296,3.236,5382,1038
Z398,Z300,2.183,14550,1567
Z398,Z324,1.924,4867,740
Z398,Z328,0.569,2159,351
Z398,Z345,0.967,6275,1107
Z398,Z353,1.265,4613,636
Z398,Z359,1.032,3473,612
Z398,Z371,1.346,7039,1029
Z398,Z398,0.068,1953,428
Z399,Z118,3.763,9728,1641
Z400,Z401,3.279,6874,1324
Z401,Z38,1.071,5646,944
Z401,Z87,1.676,12649,1401
Z401,Z88,1.147,9043,1127
Z401,Z146,0.788,7632,927
Z401,Z149,4.449,19994,1964
Z401,Z156,1.923,6357,1027
Z401,Z308,-0.028,1337,296
Z401,Z333,0.512,3113,546
Z401,Z349,0.514,3807,552
Z401,Z400,0,0,0
Z401,Z402,1.071,1000,48
Z402,Z24,1.676,1001,49
Z402,Z123,1.147,1002,50
Z402,Z141,0.788,1003,51
Z402,Z149,4.449,1004,52
Z402,Z221,1.923,1005,53
Z402,Z265,-0.028,1006,54
Z402,Z270,0.512,1007,55
Z402,Z292,0.514,1008,56
Z402,Z294,1.032,1009,57
Z402,Z308,1.346,1010,58
Z402,Z348,0.068,1011,59
Z402,Z361,3.763,1012,60
Z402,Z401,3.279,1013,61
Z402,Z402,0,0,0
